name,ik,standortnummer,anzahl_standorte,strasse,hausnummer,plz,ort,telefon,email,betten,vollstationaere_fallzahl,teilstationaere_fallzahl,ambulante_fallzahl,staeb_fallzahl,traeger_name,traeger_art,lehrkrankenhaus,universitaet,notfallstufe,notdienst,notdienstpraxis,hat_bg_zulassung,hat_darzt,hat_dialyse,hat_onkologie,hat_radiologie,hat_intensivmedizin,hat_notaufnahme,hat_psychiatrie,hat_geriatrie,anzahl_fachabteilungen,fachabteilungen,fachabteilung_schluessel,apparative_ausstattung,url_zugang,url_internetseite,url_weitere_infos
Asklepios Harzklinik Goslar,260310469,,1,Kösliner Straße,12,38642,Goslar,+495321-440,info.goslar@asklepios.com,269,14492,0,10207,0,Asklepios Kliniken Verwaltungsgesellschaft mbH,privat,Ja,Georg-August-Universität Göttingen,,nein,ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,7,"Medizinische Kliniken; Klinik für Allgemein- und Viszeralchirurgie, Gefäßchirurgie, Proktologie, und minimal-invasive Chirurgie; Klinik für Unfall-, Wiederherstellungs- und Handchirurgie; Frauenheilkunde und Geburtshilfe; Hals-, Nasen-, Ohrenheilkunde; Zahn- und Kieferheilkunde, Mund- und Kieferchirurgie; Urologie",,AA33; AA50; AA01; AA69; AA38; AA08; AA14; AA32; AA71; AA23; AA26; AA22,http://www.asklepios.com/goslar,http://www.asklepios.com/goslar,
Helios St. Marienberg Klinik Helmstedt GmbH,260310539,,1,Conringstraße,26,38350,Helmstedt,+495351-140,info.helmstedt@helios-gesundheit.de,263,15253,0,15928,0,Helios St. Marienberg Klinik Helmstedt GmbH,privat,Ja,Otto-von-Guericke-Universität Magdeburg,,nein,ja,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,8,"Gastroenterologie; Kardiologie & Elektrophysiologie; Geriatrie; Innere Medizin - Neurologie; Pneumologie, Beatmungs- und Schlafmedizin; Allgemein- und Viszeralchirurgie,
Neurotraumatologie und Wirbelsäulenchirurgie,
Gefäßchirurgie; Urologie; Orthopädie, Orthopädische Chirurgie und Unfallchirurgie; Frauenheilkunde und Geburtshilfe; Intensivmedizin; Anästhesie; Radiologie",,AA01; AA08; AA10; AA14; AA22; AA23; AA33; AA38; AA43; AA47; AA69,https://www.helios-gesundheit.de/kliniken/helmstedt/,https://www.helios-gesundheit.de/kliniken/helmstedt/,
AWO Psychiatriezentrum,260310562,772316000,7,Vor dem Kaiserdom,10,38154,Königslutter am Elm,+495353-90-0,Poststelle@awo-apz.de,37,0,199,3817,0,AWO Niedersachsen gGmbH,freigemeinnützig,Ja,Lehrklinik für Psychiatrie und Psychotherapie sowie für Kinder- und Jugendpsychiatrie und -psychotherapie der Universitätsmedizin Göttingen (UMG),,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,2,Allgemeine Psychiatrie/Tagesklinik (für teilstationäre Pflegesätze); Kinder- und Jugendpsychiatrie/Tagesklinik (für teilstationäre Pflegesätze),,,http://www.awo-psychiatriezentrum.de,http://www.awo-psychiatriezentrum.de,
AWO Psychiatriezentrum,260310562,772317000,7,Vor dem Kaiserdom,10,38154,Königslutter am Elm,+495353-90-0,Poststelle@awo-apz.de,18,0,121,847,0,AWO Niedersachsen gGmbH,freigemeinnützig,Ja,Lehrklinik für Psychiatrie und Psychotherapie sowie für Kinder- und Jugendpsychiatrie und -psychotherapie der Universitätsmedizin Göttingen (UMG),,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Allgemeine Psychiatrie/Tagesklinik (für teilstationäre Pflegesätze),,,http://www.awo-psychiatriezentrum.de,http://www.awo-psychiatriezentrum.de,
AWO Psychiatriezentrum,260310562,772318000,7,Vor dem Kaiserdom,10,38154,Königslutter am Elm,+495353-90-0,Poststelle@awo-apz.de,18,0,119,850,0,AWO Niedersachsen gGmbH,freigemeinnützig,Ja,Lehrklinik für Psychiatrie und Psychotherapie sowie für Kinder- und Jugendpsychiatrie und -psychotherapie der Universitätsmedizin Göttingen (UMG),,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Allgemeine Psychiatrie/Tagesklinik (für teilstationäre Pflegesätze),,,http://www.awo-psychiatriezentrum.de,http://www.awo-psychiatriezentrum.de,
AWO Psychiatriezentrum,260310562,772319000,7,Vor dem Kaiserdom,10,38154,Königslutter am Elm,+495353-90-0,Poststelle@awo-apz.de,17,0,107,0,0,AWO Niedersachsen gGmbH,freigemeinnützig,Ja,Lehrklinik für Psychiatrie und Psychotherapie sowie für Kinder- und Jugendpsychiatrie und -psychotherapie der Universitätsmedizin Göttingen (UMG),,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Allgemeine Psychiatrie/Tagesklinik (für teilstationäre Pflegesätze),,,http://www.awo-psychiatriezentrum.de,http://www.awo-psychiatriezentrum.de,
AWO Psychiatriezentrum,260310562,772566000,7,Vor dem Kaiserdom,10,38154,Königslutter am Elm,+495353-90-0,Poststelle@awo-apz.de,18,0,138,1229,0,AWO Niedersachsen gGmbH,freigemeinnützig,Ja,Lehrklinik für Psychiatrie und Psychotherapie sowie für Kinder- und Jugendpsychiatrie und -psychotherapie der Universitätsmedizin Göttingen (UMG),,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Allgemeine Psychiatrie/Tagesklinik (für teilstationäre Pflegesätze),,,http://www.awo-psychiatriezentrum.de,http://www.awo-psychiatriezentrum.de,
AWO Psychiatriezentrum,260310562,772567000,7,Vor dem Kaiserdom,10,38154,Königslutter am Elm,+495353-90-0,Poststelle@awo-apz.de,15,0,89,708,0,AWO Niedersachsen gGmbH,freigemeinnützig,Ja,Lehrklinik für Psychiatrie und Psychotherapie sowie für Kinder- und Jugendpsychiatrie und -psychotherapie der Universitätsmedizin Göttingen (UMG),,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Kinder- und Jugendpsychiatrie/Tagesklinik (für teilstationäre Pflegesätze),,,http://www.awo-psychiatriezentrum.de,http://www.awo-psychiatriezentrum.de,
AWO Psychiatriezentrum,260310562,773394000,7,Vor dem Kaiserdom,10,38154,Königslutter am Elm,+495353-90-0,poststelle@awo-apz.de,741,6097,0,5807,0,AWO Niedersachsen gGmbH,freigemeinnützig,Ja,Lehrklinik für Psychiatrie und Psychotherapie sowie für Kinder- und Jugendpsychiatrie und -psychotherapie der Universitätsmedizin Göttingen (UMG),,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,3,"Psychiatrie und Psychotherapie (Allgemein, Sucht, Geronto); Kinder- und Jugendpsychiatrie und -psychotherapie; Psychosomatische Medizin und Psychotherapie",,AA43; AA10,http://www.awo-psychiatriezentrum.de,http://www.awo-psychiatriezentrum.de,
"DR. FONTHEIM Mentale Gesundheit, Klinik für Psychiatrie, Psychotherapie und Psychosomatik",260310573,771488000,1,Lindenstraße,15,38704,Liebenburg,+495346-81-0,info@fontheim.de,285,2782,29,7970,0,DR. FONTHEIM GmbH & Co. KG,privat,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,2,Allgemeine Psychiatrie und Psychotherapie; Psychosomatik/Psychotherapie,,AA10; AA08; AA22,https://www.fontheim.de,https://www.fontheim.de,
HELIOS Albert-Schweitzer-Klinik Northeim [NOM],260310595,,1,Albert-Schweitzer-Weg,1,37154,Northeim,+495551-970,information.northeim@helios-kliniken.de,209,11584,0,10995,0,HELIOS Albert-Schweitzer-Klinik Northeim GmbH,privat,Ja,Georg-August Universität Göttingen,,nein,ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,7,"Kardiologie, Intensivmedizin, Neurologie, Pneumologie, Gastroenterologie, Geriatrie; Allgemein- und Visceralchirurgie/Orthopädie und Unfallchirurgie/Gefäßchirurgie/Wirbelsäulenchirurgie; Urologie; Frauenheilkunde und Geburtshilfe; Hals-, Nasen-, Ohrenheilkunde; Intensivmedizin; Anästhesie und operative Intensivmedizin",,AA10; AA15; AA38; AA43; AA47; AA57; AA69; AA08; AA14; AA50; AA21; AA22; AA32; AA33; AA01,http://www.helios-gesundheit.de/klinik/northeim.html,https://www.helios-gesundheit.de/kliniken/Northeim,
Helios Klinik Herzberg/Osterode,260310619,,1,Dr.-Frössel-Allee,1,37412,Herzberg am Harz,+495521-8660,info.herzberg@helios-gesundheit.de,214,12253,0,16409,0,Helios Klinik Herzberg/Osterode GmbH,privat,Ja,Georg-August-Universität Göttingen,,nein,ja,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,6,"Innere Medizin 1 und 2 - Schwerpunkt Kardiologie - Schwerpunkt Gastroenterologie; Allgemein- und Viszeralchirurgie, Unfallchirurgie, Orthopädie und Wirbelsäulenchirurgie, Gefäßchirurgie, Geriatrie; Gynäkologie und Geburtshilfe; Anästhesie; Radiologie; Intensivmedizin",,AA38; AA08; AA14; AA22; AA23; AA10; AA69,http://www.helios-gesundheit.de/herzberg,http://www.helios-gesundheit.de/herzberg,
Klinikum Peine gGmbH,260310642,,1,Virchowstraße,8h,31226,Peine,+495171-93-0,info@klinikum-peine.de,275,10196,0,16513,0,Klinikum Peine gGmbH,öffentlich,Ja,Medizinische Hochschule Hannover,,ja,ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Ja,9,"Klinik für Anästhesiologie und Intensivmedizin; Klinik für Radiologie; Klinik für Kardiologie, Pneumologie, Angiologie und internistische Intensivmedizin (MED I); Klinik für Gastroenterologie u. Allgemeine Innere Medizin (MED II); Klinik für Geriatrie und Frührehabilitation; Klinik für Allgemein- und Viszeralchirurgie; Klinik für Unfallchirurgie, Orthopädie und Sportmedizin; Klinik für operative und endovaskuläre Gefäßchirurgie; Klinik für präklinische und klinische Notfallmedizin",,AA01; AA08; AA10; AA18; AA14; AA22; AA69; AA43,http://www.klinikum-peine.de,http://www.klinikum-peine.de,http://www.klinikum-peine.de
Asklepios Fachklinikum Tiefenbrunn,260310653,,1,Tiefenbrunn,_,37124,Rosdorf,+49551-402-0,poststelle.tiefenbrunn@asklepios.com,182,886,2,1669,0,"Asklepios Psychiatrie Niedersachsen GmbH, Rosdorfer-Weg 70, 37081 Göttingen",privat,Ja,Georg August Universität zu Göttingen,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,3,Allgemeine Psychiatrie; Kinder- und Jugendpsychiatrie; Psychosomatik/Psychotherapie,,,https://www.asklepios.com/tiefenbrunn/,https://www.asklepios.com/tiefenbrunn,https://www.asklepios.com/tiefenbrunn
St. Elisabeth-Krankenhaus Salzgitter gGmbH,260310664,,1,Liebenhaller Str.,20,38259,Salzgitter,+495341-824-0,kontakt@st-elisabeth-sz.de,102,5645,0,6341,0,St. Elisabeth-Krankenhaus Salzgitter gGmbH,freigemeinnützig,Nein,,,nein,nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,4,Fachabteilung Innere Medizin; Fachabteilung Gynäkologie; Fachabteilung Chirurgie; Fachabteilung Anästhesie und Intensivmedizin,,AA69; AA08; AA01,http://www.st-elisabeth-sz.de,http://www.st-elisabeth-sz.de,
Helios Klinikum Salzgitter GmbH,260310686,,1,Kattowitzer Str.,191,38226,Salzgitter,+495341-8351274,info.salzgitter@helios-kliniken.de,296,16830,0,32743,0,Helios Klinikum Salzgitter GmbH,privat,Ja,Medizinische Hochschule Hannover,,ja,ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,8,"Innere Medizin; Kinder- und Jugendmedizin; Chirurgie; Urologie; Frauenheilkunde und Geburtshilfe; Hals-, Nasen-, und Ohrenheilkunde; Intensivmedizin; Anästhesie",,AA38; AA01; AA08; AA10; AA14; AA47; AA50; AA22; AA18; AA69; AA71,https://www.helios-gesundheit.de/kliniken/salzgitter/,https://www.helios-gesundheit.de/kliniken/salzgitter/,
Helios Klinik Wittingen GmbH,260310733,,1,Gustav-Dobberkau-Straße,5,29378,Wittingen,+495831-220,info.wittingen@helios-gesundheit.de,43,2634,0,9267,0,Helios Klinik Wittingen GmbH,privat,Nein,,,nein,nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,4,Abteilung für Innere Medizin; Abteilung für Chirurgie; Intensivmedizin; Abteilung für Anästhesie und Intensivmedizin,,AA08,https://www.helios-gesundheit.de/standorte-angebote/kliniken/wittingen/,https://www.helios-gesundheit.de/standorte-angebote/kliniken/wittingen/,https://www.helios-gesundheit.de
Städtisches Klinikum Wolfenbüttel gGmbH,260310744,,1,Alter Weg,80,38302,Wolfenbüttel,+495331-934-0,info@klinikum-wolfenbuettel.de,283,14702,43,23309,0,Städtisches Klinikum Wolfenbüttel gGmbH,öffentlich,Ja,Georg August Universität Göttingen,,ja,ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,9,"Klinik für Innere Medizin - Gastroenterologie; Klinik für Innere Medizin - Kardiologie; Klinik für Innere Medizin - Allgemeine Innere; Klinik für Allgemein-, Viszeral- und Minimal-Invasive Chirurgie; Klinik für orthopädische Chirurgie, Sporttraumatologie und Unfallchirurgie; Klinik für Gynäkologie; Klinik für Geburtshilfe; Klinik für Hals-, Nasen-, Ohrenkrankheiten; Klinik für Anästhesie, operative Intensiv-, Notfall- und Schmerzmedizin",,AA01; AA38; AA08; AA10; AA43; AA50; AA22; AA68; AA23; AA14; AA57; AA30; AA33; AA69,https://www.klinikum-wolfenbuettel.de,https://www.klinikum-wolfenbuettel.de,https://www.klinikum-wolfenbuettel.de
Klinikum Wolfsburg,260310766,,1,Sauerbruchstraße,7,38440,Wolfsburg,+495361-80-0,info@klinikum.wolfsburg.de,547,32071,349,69925,0,Stadt Wolfsburg,öffentlich,Ja,Medizincampus Wolfsburg der Universitätsmedizin Göttingen,,ja,ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,20,"Medizinische Klinik 1; Medizinische Klinik 2; Klinik für Frauenheilkunde und Geburtshilfe; Klinik für Kinder- und Jugendmedizin und Psychosomatik; Klinik für Allgemeinchirurgie und Viszeralchirurgie; Klinik für Gefäßchirurgie; Klinik für Unfallchirurgie, Orthopädie und Handchirurgie; Neurotraumatologie und Wirbelsäulenchirurgie; Klinik für Hals-Nasen-Ohrenkrankheiten, Kopf- und Halschirurgie; Neurologie; Urologische Klinik; Geriatrie; Klinik für Radioonkologie und Strahlentherapie; Klinik für Anästhesie, Notfallmedizin, Operative Intensivmedizin und Schmerztherapie; Zentrale Notfallaufnahme; Klinik für Augenheilkunde; Institut für Klinische Chemie, Laboratoriums- und Transfusionsmedizin; Klinik für bildgebende Diagnostik und interventionelle Radiologie; Institut für klinische Pathologie; Zentrum für Entwicklungsdiagnostik-und Sozialpädiatrie",,AA01; AA08; AA10; AA14; AA18; AA21; AA22; AA23; AA32; AA33; AA38; AA43; AA47; AA50; AA57; AA69,https://www.klinikum.wolfsburg.de/start,https://www.klinikum.wolfsburg.de/start,https://www.klinikum.wolfsburg.de/aerzte/aerztliches-medizinmanagement
Venenzentrum Braunschweig - Zuckerbergweg,260310959,773727000,2,Zuckerbergweg,2,38124,Braunschweig,+49531-26330,info@venenzentrum-bs.de,15,1524,0,332,0,Venenzentrum Braunschweig GmbH,privat,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,1,Zentrum für Chirurgie,,,https://www.venenzentrum-braunschweig.de/,http://www.venenzentrum-braunschweig.de,
Venenzentrum Braunschweig - Kastanienallee,260310959,773728000,2,Kastanienallee,18-19,38102,Braunschweig,+49531-707080,info@venenzentrum-bs.de,6,580,0,394,0,Venenzentrum Braunschweig GmbH,privat,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,1,Zentrum für Chirurgie,,,https://www.venenzentrum-braunschweig.de/,https://www.venenzentrum-braunschweig.de/,
Asklepios Klinik Schildautal Seesen,260311006,,1,Karl-Herold-Straße,1,38723,Seesen,+495381-74-0,seesen@asklepios.com,334,7529,0,2121,0,Asklepios Klinik Schildautal Seesen GmbH,privat,Ja,Georg August Universität Göttingen,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,4,Klinik für Innere Medizin und Kardiologie; Klinik für Neurochirurgie; Klinik für Neurologie; Klinik für Neurologische Frührehabilitation,,AA22; AA69; AA10; AA43; AA14; AA08; AA70; AA01,https://www.asklepios.com/seesen/,http://www.asklepios.com/seesen,
Evangelisches Krankenhaus Göttingen-Weende gGmbH - Krankenhaus Neu-Mariahilf,260311051,,1,Waldweg,9,37073,Göttingen,+49551-5034-0,kontakt@ekweende.de,104,4133,0,2255,0,Evangelisches Krankenhaus Göttingen-Weende gGmbH,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,5,Angiologie und Diabetologie; Allgemeine- und Gefäßchirurgie; Orthopädie; Gynäkologie und Geburtshilfe; Anästhesie,,AA01; AA18; AA23; AA15; AA32,http://www.ekweende.de,http://www.ekweende.de,https://ekweende.de/patienten-besucher/allgemeine-informationen/qualitaetsmanagement.html
Augenklinik Dr. Hoffmann GmbH,260311197,,1,Wolfenbütteler Str.,82,38102,Braunschweig,+49531-27338-0,verwaltung@augenklinik-dr-hoffmann.de,19,3944,0,0,0,Augenklinik Dr. Hoffmann,privat,Nein,,,nein,nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,1,Augenheilkunde,,AA01,http://www.augenklinik-dr-hoffmann.de/,http://www.augenklinik-dr-hoffmann.de,
AGAPLESION KRANKENHAUS NEU BETHLEHEM gGmbH,260311302,,1,Humboldtallee,8,37073,Göttingen,+49551-494-0,info.nbg@agaplesion.de,100,9009,0,758,0,AGAPLESION KRANKENHAUS NEU BETHLEHEM gemeinnützige GmbH,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,7,"Anästhesie; Frauenheilkunde; Geburtshilfe; Innere Medizin-Kardiologie-Angiologie; Chirurgie; Hals,- Nasen,- Ohrenheilkunde; Augenheilkunde",,AA18; AA08; AA38; AA47; AA01; AA10; AA14; AA33; AA23; AA57; AA69; AA22,http://www.neubethlehem.de,http://www.neubethlehem.de,http://www.agaplesion.de
AMEOS Klinikum Alfeld,260320018,,1,Landrat-Beushausen-tr. 26,1,31061,Alfeld,+495181-7070,info@alfeld.ameos.de,125,1392,0,3481,0,AMEOS Gruppe,privat,Nein,,,ja,ja,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,6,"Urologie; Klinik für Innere Medizin; Gynäkologie und Geburtshilfe; Chirurgische Klinik; Hals-, Nasen-, Ohrenheilkunde; Anästhesie und Intensivmedizin",,AA22; AA23; AA08; AA33,,https://www.ameos.de/klinikum-alfeld/kontakt,https://www.ameos.eu
"Kliniken Landkreis Diepholz gGmbH, Klinik Bassum",260320212,773071000,3,Marie-Hackfeld-Straße,6,27211,Bassum,+494241-81-0,porte.bassum@kliniken-lkd.de,14,0,120,0,0,"Kliniken Landkreis Diepholz gGmbH, Klinik Bassum",freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Allgemeine Psychiatrie/Tagesklinik (für teilstationäre Pflegesätze),,AA10,https://www.kliniken-lkd.de,https://www.kliniken-lkd.de,
"Kliniken Landkreis Diepholz gGmbH, Klinik Bassum",260320212,773072000,3,Marie-Hackfeld-Straße,6,27211,Bassum,+494241-81-0,porte.bassum@kliniken-lkd.de,14,0,117,0,0,"Kliniken Landkreis Diepholz gGmbH, Klinik Bassum",freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Allgemeine Psychiatrie/Tagesklinik (für teilstationäre Pflegesätze),,AA32; AA33; AA69; AA22; AA21; AA08; AA14,https://www.kliniken-lkd.de,https://www.kliniken-lkd.de,
"Kliniken Landkreis Diepholz gGmbH, Klinik Bassum",260320212,773073000,3,Marie-Hackfeld-Straße,6,27211,Bassum,+494241-81-0,pforte.bassum@kliniken-lkd.de,247,5748,25,34575,0,Kliniken Landkreis Diepholz gGmbH,freigemeinnützig,Nein,,,ja,ja,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,6,"Innere Medizin und Gastroenterologie; Allgemeine Chirurgie; Plastische und Ästhetische Chirurgie, Handchirurgie; Anästhesiologie und Intensivmedizin; Psychiatrie und Psychotherapie; Psychosomatik und Psychotherapie",,AA10; AA15; AA50; AA18; AA21; AA08; AA09; AA01; AA14,http://www.kliniken-lkd.de,https://www.kliniken-lkd.de,
Krankenhaus Lindenbrunn,260320267,,1,Lindenbrunn,1,31863,Coppenbrügge,+495156-782-0,info@krankenhaus-lindenbrunn.de,106,1307,0,0,0,Gesundheits-und Pflegeeinrichtungen Lindenbrunn e.V.,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,2,Neurologie; Geriatrie,,AA43; AA08; AA10,http://www.krankenhaus-lindenbrunn.de,http://www.krankenhaus-lindenbrunn.de,https://www.gp-lindenbrunn.de/
"Kliniken Landkreis Diepholz gGmbH, Klinik Diepholz",260320289,,1,Eschfeldstaße,8,49356,Diepholz,+495441-972-0,pforte.diepholz@kliniken-lkd.de,116,4934,0,12444,0,Kliniken Landkreis Diepholz gGmbH,freigemeinnützig,Nein,,,ja,ja,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,6,"Innere Medizin und Kardiologie; Allgemeine Chirurgie, Unfallchirurgie und Orthopädie; Urologie; Frauenheilkunde; Augenheilkunde; Anästhesieologie und Intensivmedizin",,AA33; AA14; AA08; AA50; AA22; AA69; AA21; AA01; AA32,https://www.kliniken-lkd.de,https://www.kliniken-lkd.de,
Johanniter-Krankenhaus Gronau GmbH,260320303,,1,Johanniterstraße,1-3,31028,Gronau (Leine),+495182-5830,info@johanniter-gronau.de,111,5796,0,13749,0,Johanniter-Krankenhaus Gronau GmbH,freigemeinnützig,Nein,,,nein,nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,7,"Innere Medizin; Innere Medizin/Geriatrie; Orthopädie und Unfallchirurgie; Allgemein- und Visceralchirurgie; Anästhesie und Operative Intensivmedizin; Hals-, Nasen-, Ohrenheilkunde; Laserchirurgie",,AA08; AA50; AA22,http://www.johanniter-gronau.de,https://www.johanniter-gronau.de,
Gesundheitseinrichtungen Hameln-Pyrmont GmbH - Sana Klinikum Hameln-Pyrmont,260320336,,1,Saint-Maur-Platz,1,31785,Hameln,+495151-970,info@sana.de,401,19302,0,44150,0,Sana Kliniken AG,privat,Ja,Medizinische Hochschule Hannover,,ja,ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,14,"Klinik für Kardiologie und internistische Intensivmedizin; Klinik für Hämatologie und Onkologie; Klinik für Allgemein- und Visceralchirurgie; Klinik für Orthopädie und Unfallchirurgie; Klinik für Gefäßchirurgie; Klinik für Plastische- und Ästhetische Chirurgie - Handchirurgie; Klinik für Gynäkologie und Geburtshilfe; Klinik für Kinder und Jugendmedizin; Klinik für Hepato- Gastroenterologie; Klinik für Urologie; Klinik für Geriatrie; Klinik für Anästhesie und Operative Intensivmedizin; Belegabteilung Mund- Kiefer- Gesichtschirurgie; Belegabteilung Hals-, Nasen-, Ohrenheilkunde",,AA18; AA10; AA08; AA32; AA33; AA43; AA47; AA50; AA21; AA01; AA57; AA69; AA22; AA38; AA14; AA23,http://www.sana.de/hameln,http://www.sana-hm.de,
Sophienklinik GmbH,260320450,,1,Bischofsholer Damm,160,30173,Hannover,+49511-3667-0,info@sophienklinik.de,117,6436,0,0,0,Sophienklinik GmbH,privat,Nein,,,nein,nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,8,"Innere Medizin; Allgemeine Chirurgie; Urologie; Orthopädie; Frauenheilkunde; Hals-, Nasen-, Ohrenheilkunde; Augenheilkunde; Zahn- und Kieferheilkunde, Mund- und Kieferchirurgie",,AA10,http://www.sophienklinik.de/,http://www.sophienklinik.de/,
DRK-Krankenhaus Clementinenhaus,260320494,,1,Lützerodestraße,1,30161,Hannover,+49511-33940,info@clementinenhaus.de,195,11415,0,7059,0,DRK-Krankenhaus Clementinenhaus - Stiftung des bürgerlichen Rechts -,freigemeinnützig,Ja,Medizinische Hochschule Hannover,,ja,nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,5,"Allgemeine Chirurgie; Innere Medizin; Hals-, Nasen-, Ohrenheilkunde; Kardiologie; Anästhesie und Intensivmedizin",,AA08; AA14; AA50; AA22; AA69,http://www.clementinenhaus.de,http://www.clementinenhaus.de/,
Kinder- und Jugendkrankenhaus AUF DER BULT,260320508,772824000,3,Janusz-Korczak-Allee,12,30173,Hannover,+49511-8115-0,info@hka.de,12,0,55,292,0,Stiftung Hannoversche Kinderheilanstalt,freigemeinnützig,Ja,Medizinische Hochschule Hannover (MHH),,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Kinder- und Jugendpsychiatrische Tagesklinik,,,https://www.auf-der-bult.de,https://www.auf-der-bult.de/celle,https://www.auf-der-bult.de
Kinder- und Jugendkrankenhaus AUF DER BULT,260320508,772825000,3,Janusz-Korczak-Allee,12,30173,Hannover,+49511-8115-0,info@hka.de,251,8552,2587,44100,0,Stiftung Hannoversche Kinderheilanstalt,freigemeinnützig,Ja,"Medizinische Hochschule Hannover (MHH), Semmelweis Universität Asklepios Campus Hamburg",,ja,ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,10,"Allgemeine Kinderheilkunde I, Neonatologie, Kinderkardiologie; Allgemeine Kinderheilkunde II, Neuropädiatrie; Allgemeine Kinderheilkunde III, Diabetologie, Endokrinologie, Gastroenterologie und Klinische Forschung; Kindermedizinische Tagesklinik; Kinderchirurgie / Kinderurologie; Hals-, Nasen-, Ohrenheilkunde; Kinder- und Jugendpsychiatrie/Psychotherapie; Kinder- und Jugendpsychiatrische Tagesklinik; Kinderradiologie  /Ultraschall / Computertomografie; Anästhesie / Kinderintensiv- und Notfallmedizin",,AA18; AA01; AA43; AA38; AA33; AA10; AA50; AA22; AA08; AA32; AA47,https://www.auf-der-bult.de,https://www.auf-der-bult.de,https://www.pnz-hannover.de
Kinder- und Jugendkrankenhaus AUF DER BULT,260320508,773747000,3,Janusz-Korczak-Allee,12,30173,Hannover,+49511-8115-0,info@hka.de,9,177,0,0,0,Stiftung Hannoversche Kinderheilanstalt,freigemeinnützig,Ja,"Medizinische Hochschule Hannover (MHH), Semmelweis Universität Asklepios Campus Hamburg",,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,1,"Allgemeine Kinderheilkunde I, Neonatologie, Kinderkardiologie",,AA47; AA10; AA38,https://www.auf-der-bult.de,https://www.auf-der-bult.de/neugeborenenmedizin,https://www.pnz-hannover.de
